sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	expt_code	site_type	rep	plant	treatment	time_zone	latitude	longitude	altitude	site_name	city	state	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	date_phenology_assessed	phenology_emergence	phenology_leaves_full_size	phenology_herbivore_damage	phenology_open_flowers	phenology_ripe_seeds	phenology_leaf_wilting	phenology_canopy_closed	phenology_senescence	phenology_full_leaf_loss	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year
1	1	G5R1_MAIN_18APR2016	18	4	2016	11:08	full sun	22.9	bare soil, no plant growth	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_18APR2016	6	2017-10-17	6.6		27	103	956	133	2	0.3	2.9	12.09	13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	21.9		8423.1	SH Lee	G5R1_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	N	N	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
1	1	G5R1_MAIN_18APR2016	18	4	2016	11:08	full sun	22.9	bare soil, no plant growth	G5R1_MAIN	BCSE	Agricultural	1	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_MAIN_18APR2016	6	2017-10-17	6.6		27	103	956	133	2	0.3	2.9	12.09	13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_MAIN_18APR2016_SD2	9/5/17	DNA	2	soil	0.25	Mobio Powersoil	100	19.12	1.91	7648	KL Grady	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
2	2	G5R2_MAIN_18APR2016	18	4	2016	11:45	full sun	24.3	bare soil, no plant growth	G5R2_MAIN	BCSE	Agricultural	2	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_MAIN_18APR2016	6	2017-10-17	6.3		16	78	776	109	2.2	0.3	2.8	13.61	14.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	22.6		8692.3	SH Lee	G5R2_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
3	3	G5R3_MAIN_18APR2016	18	4	2016	12:08	full sun	25.4	bare soil, no plant growth	G5R3_MAIN	BCSE	Agricultural	3	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_MAIN_18APR2016	6	2017-10-17	6.4		13	66	947	111	2.4	0.1	3.1	13.92	14.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	18.3		7038.5	SH Lee	G5R3_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
4	4	G5R4_MAIN_18APR2016	18	4	2016	11:35	full sun	23.8	bare soil, no plant growth	G5R4_MAIN	BCSE	Agricultural	4	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_MAIN_18APR2016	6	2017-10-17	6.3		32	102	879	154	2.3	0.1	2.7	11.53	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_MAIN_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	10.1		3884.6	SH Lee	G5R4_MAIN_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
5	5	G5R5_MAIN_18APR2016	18	4	2016	12:25	full sun	25.6	bare soil, no plant growth	G5R5_MAIN	BCSE	Agricultural	5	switchgrass	standard fertilization	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R5_MAIN_18APR2016	6	NA	0	NA	0	0	0	0	0	0	0	0	13.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
6	6	G5R1_NF_18APR2016	18	4	2016	11:00	full sun	22.8	bare soil, no plant growth	G5R1_NF	BCSE	Agricultural	1	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R1_NF_18APR2016	6	2017-10-17	6.7		21	93	924	115	2.2	0.1	2.7	15.02	14.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R1_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	12.1		4653.8	SH Lee	G5R1_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
7	7	G5R2_NF_18APR2016	18	4	2016	11:44	full sun	24.1	bare soil, no plant growth	G5R2_NF	BCSE	Agricultural	2	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R2_NF_18APR2016	6	2017-10-17	6.2		14	54	788	110	2.1	0.1	3	13.99	15.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R2_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	12.4		4769.2	SH Lee	G5R2_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
8	8	G5R3_NF_18APR2016	18	4	2016	12:05	full sun	25.2	bare soil, no plant growth	G5R3_NF	BCSE	Agricultural	3	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R3_NF_18APR2016	6	2017-10-17	6.3		14	65	907	116	2.4	0.1	3.5	18.69	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R3_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	16.8		6461.5	SH Lee	G5R3_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
9	9	G5R4_NF_18APR2016	18	4	2016	11:31	full sun	23.4	bare soil, no plant growth	G5R4_NF	BCSE	Agricultural	4	switchgrass	nitrogen free	GMT - 5:00	42.39	-85.37	286	Kellogg Biological Station	Hickory Corners	Michigan	United States	G5R4_NF_18APR2016	6	2017-10-17	6.3		25	103	883	146	2.2	0.1	2.9	13.04	15.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	G5R4_NF_18APR2016_SD1		DNA	1	soil	0.26	Mobio Powersoil	100	14.3		5500	SH Lee	G5R4_NF_18APR2016_SD1		1.2	Illumina 16S iTag	DOE Joint Genome Institute	EMP V4	Y	Y	N	NA	N	2016-04-18	1460952000	18.04.16	0	18	27.9	7.4	992	44.14	0.84	1.9	269.8	271.8	379.5	17.5	11	2016
